loss,val_loss
1265.5088502419924,1263.5782677507036
1262.1303823122087,1263.1198993692585
1259.2183914527045,1257.7508265726224
1256.3017670793963,1257.6368998745486
1254.2505168632551,1253.806796090929
1251.751474731205,1251.8837424953206
1249.6577272782617,1248.8964713693779
1247.8079268567146,1247.7281662363264
1245.2564737601947,1246.0231566241969
1243.9292532747804,1245.3379306167694
1241.698338930716,1243.6342301335492
1239.627540861602,1241.4049980792336
1238.0686675973966,1238.6712114228774
1236.6321511381582,1237.5005253068248
1235.3027065812255,1235.0628987146215
1233.506808117797,1233.5541959829015
1231.9583493186285,1232.2204842073997
1230.6765654392707,1231.0168082626979
1229.379948246018,1237.927258726005
1228.4424632310438,1229.4042123280851
