,test-mae-mean,test-mae-std,test-rmse-mean,test-rmse-std,train-mae-mean,train-mae-std,train-rmse-mean,train-rmse-std
0,3232.7965820000004,19.837765145830467,6.329549800000001,0.00517815161616571,3232.7968262,4.958200988235471,6.3295482,0.001051944371152774
1,3227.4354980000003,19.839994164009376,5.559524000000001,0.00522058376046218,3227.4362792,4.952948067966513,5.559585,0.0007903561222638617
2,3218.9078612000003,19.84650168429511,4.949723199999999,0.005277168308856496,3218.9098142,4.940999234721477,4.9497992,0.0006628358469485325
3,3206.7408692,19.833362585168175,4.4536058,0.005005343920251766,3206.7416992000003,4.94449430784883,4.4535968,0.0008414029712331341
4,3190.7126954000005,19.802016354865042,4.0422944,0.004807025092507878,3190.7103514,4.9610702815237975,4.0422148,0.0010021679300395772
5,3170.6850586,19.813571855617386,3.6949314,0.004917868912445684,3170.6809571999997,4.935453745848526,3.6947966,0.0008116729883395204
6,3146.7865233999996,19.78777276782445,3.3979588,0.004833490184121591,3146.7797366,4.933825828195941,3.3978166,0.0007627664386953271
7,3119.2720214,19.765183267990096,3.1414796000000003,0.004766427408447584,3119.2629884000003,4.916124361307117,3.14131,0.0006743316691362033
8,3088.4865721999995,19.74590213690064,2.9175426,0.004807675679577411,3088.4710938000003,4.893393732034055,2.9173244,0.0006046250408311747
9,3054.7476560000005,19.721621308896804,2.7207158,0.004840805528008718,3054.7176758,4.864836353846366,2.7204241999999996,0.0004913232744334536
10,3018.3285644,19.73349680340945,2.5460386,0.004860276601182243,3018.2919432,4.807446261866821,2.545732,0.0004108113922471336
11,2979.6779296,19.74279066875661,2.3904188,0.004889637630745246,2979.6136232,4.745186735718439,2.3900145999999998,0.00038756656202516474
12,2939.1405274,19.734176386755333,2.250795,0.004904299990824374,2939.0534668,4.682991174548642,2.25031,0.0003613281057431749
13,2896.9220702,19.76690126301267,2.1248618,0.0049306389606216154,2896.8187988,4.599717528929069,2.1243246,0.000367750241332382
14,2853.4770019999996,19.727006142584134,2.0108018,0.00490384703676612,2853.3675294,4.5737056424218,2.0102456,0.00039833433193744305
